stat,hard,koef_hard,line,fs1_public,prest,p2,p3,p1_1,p1_2,punkt,kodific,f10r13p1,f10r14p1_1,f10r14p1_2,f10r151_03,f10r14p1_6,f10r18p1,f10r18p1_2,f10r19p1um,f10r19p113,f10r19p114,f10r19p121,f10r211p1,f10r22p1,f10r24p1,f10r24p1gr,f10r24p2,f10r24p3,f10r25p1,f10r25p1gr,f10r25p2,f10r25p3,f10r27p1,f11r9p1_05,f11r9_no11,f11r9p1_21,f11r9p1_22,f11r9p1212,f11r9_no01,f11r91_24,f11r10no13,f11r17_01,f11r17_02,f11r17_03,f11r17_04,f11r17_07,f20r30_82,f60r15,f60r15p7,status,ord_r,fe1r32p1,fe1r33p1,fe1r33_16,fe1r331_12,fe1r331_20,fe1r34_04,fe1r351p1,fe2r18_33,fl1,fl1_2,fl1_wom,fl1_bwom,fl1_ml,fl1_nl,fl1u,fl1u_2,fl1u_wom,fl1u_bwom,fl1u_ml,fl1u_nl,fs1_neost,fs1r566_3o,fs1r567_1o,fs1r567_2,fs1r567_3o,fs1r567_4o,fs1r62_21,fs1r62_02,fs1r62_03,fs1r62_05,fs1r62_06,fs1r62_07,fs1r62_08,fs1r62_09,fs1r62_10,fs1r62_11,fs1r62_12,fs1r62_16,fs1r70_01,fs1r64,fs1r64_add,fs1r64_nn,fs1r64_0,fs1r64_05n,fs1r64_05x,fs1r64_06n,fs1r64_06x,fs1r64_09n,fs1r64_09x,fs1r64_12n,fs1r64_12x,fs1r64_11n,fs1r64_11x,fs1r64_01n,fs1r64_01x,fs1r65_o,fs1r65_n,fs1r65_02n,fs1r65_02x,d_izm,id
ст.107 ч.1,1,2700,1,,1,1070001,FE1R10P1,Умышленное причинение средней тяжести вреда здоров,Денсаулыќќа ќасаќана ауырлыєы орташа зиян келтiру,,,,,,,,,,,ALL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,,,NO,,,,,,ALL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05,06,09,11,01",,,,,1000,,1000,,600,,,,2,,2,,,,,2015-01-01,31
ст.107 ч.2,2,4550,1,,1,1070002,FE1R10P1,Умышленное причинение средней тяжести вреда здоров,Денсаулыќќа ќасаќана ауырлыєы орташа зиян келтiру,"01,02,03,04,05,06,07,08",,,,,,04,04,,07,ALL,,01,08,,,,,,,,,,05,06,02,,,,03,,,,,,,,,,,1,0,,,NO,,06,,,,ALL,01,,,,08,,,,,,,,08,,,,,07,,04,,,,02,03,,,,,04,"05,06,09,11,01",,,,,2000,,2000,,800,,,,3,,3,,,,,2015-01-01,32
ст.108,0,2030,1,1,2,1080001,FE1R10P1,Умышленное причинение легкого вреда здоровью,Денсаулыќќа ќасаќана жеѕіл зиян келтiру,,1,,,,,,,,,ALL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0,,,NO,,,,,,ALL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05,06,09,12",,,,,200,,200,,180,,60,,,,,,,,,2015-01-01,33
ст.108,0,2040,1,1,2,1080001,FE1R10P1,Умышленное причинение легкого вреда здоровью,Денсаулыќќа ќасаќана жеѕіл зиян келтiру,,1,,,,,,,,,ALL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,0,,,NO,,,,,,ALL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05,06,09,12",,,,,200,,200,,180,,60,,,,,,,,,2017-07-20,34
ст.108-1 ч.1,0,1720,1,1,2,1080101,FE1R10P1,Умышленное причинение легкого вреда здоровью,Денсаулыќќа ќасаќана жеѕіл зиян келтiру,,,,,,,,,,,ALL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,,,NO,,,,,,ALL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05,06,09,12",,,,,200,,200,,200,,50,,,,,,,,,2024-06-15,35
ст.108-1 ч.2,1,2750,1,1,1,1080102,FE1R10P1,Умышленное причинение легкого вреда здоровью,Денсаулыќќа ќасаќана жеѕіл зиян келтiру,"01,02,03,04,05,06,07,08",,,,,,,,,,ALL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,,,NO,,,,,,ALL,,,,,,,,,,,,,08,,,,,,,04,,,03,02,03,,,,,,"05,06,09,01,11",,,,,1000,,1000,,600,,,,2,,2,,,,,2024-06-15,36
ст.109,0,1180,,1,2,1090001,FE1R10P1,Побои,Ўрып-соєу,,1,,,,,,,,,ALL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,0,,,NO,,,,,,ALL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05,06,09,12",,,,,100,,100,,120,,45,,,,,,,,,2015-01-01,37
ст.109-1 ч.1,0,340,1,1,2,1090101,FE1R10P1,Побои,Ўрып-соєу,,,,,,,,,,,ALL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,,,NO,,,,,,ALL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05,06,09,12",,,,,80,,80,,80,,25,,,,,,,,,2024-06-15,38
ст.109-1 ч.2,0,2020,1,1,2,1090102,FE1R10P1,Побои,Ўрып-соєу,"01,02,03,04,05,06,07,08",,,,,,,,,,ALL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,,,NO,,,,,,ALL,,,,,,,,,,,,,08,,,,,07,,04,,,03,02,,,,,,,"05,06,09,12",,,,100,200,100,200,100,200,30,50,,,,,,,,,2024-06-15,39
ст.110 ч.1,2,4100,,1,1,1100001,FE1R10P1,Истязание,Ќинау,,,,,,,,,,,ALL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,,,NO,,,,,,ALL,,,,,,,,,,,,,,,,,,,,,,,,,ALL,,,,,,"05,06,09,01",,,,,1000,,1000,,600,,,,,,3,,,,,2024-06-15,40
ст.110 ч.1,1,2740,,1,1,1100001,FE1R10P1,Истязание,Ќинау,,,,,,,,,,,ALL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0,,,NO,,,,,,ALL,,,,,,,,,,,,,,,,,,,,,,,,,ALL,,,,,,"05,06,09,11,01",,,,,1000,,1000,,600,,,,2,,2,,,,,2023-05-19,41
ст.110 ч.1,1,2710,,1,1,1100001,FE1R10P1,Истязание,Ќинау,,,,,,,,,,,ALL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0,,,NO,,,,,,ALL,,,,,,,,,,,,,,,,,,,,,,,,,ALL,,,,,,"05,06,09,11,01",,,,,1000,,1000,,600,,,,2,,2,,,,,2015-01-01,42
ст.110 ч.2,3,9530,,,1,1100002,FE1R10P1,Истязание,Ќинау,"01,02,03,04,05,06",,,,,,,,,,ALL,,,01 -,03,,,,,,,,,,06,,,,,,,,,,,,,,,,2,0,,,NO,05,06,,,,ALL,02,03,03,,,,,,,,,,,"02,03,05,06",,,,,,,,,03,,,,,,,,"11,01",,"05,06,",,,,,,,,,,3,7,3,7,,,,,2015-01-01,43
ст.110 ч.2,3,9890,,,1,1100002,FE1R10P1,Истязание,Ќинау,"01,02,03,04,05,06",,,,,,,,,,ALL,,,01 -,03,,,,,,,,,,06,,,,,,,,,,,,,,,,1,0,,,NO,05,06,,,,ALL,02,03,03,,,,,,,,,,,"02,03,05,06",,,,,,,,,03,,,,,,,,01,,"05,06,",,,,,,,,,,,,4,7,,,,,2024-06-15,44
ст.110 ч.2,3,9990,,,1,1100002,FE1R10P1,Истязание,Ќинау,"01,02,03,04,05,06",,,,,,,,,,ALL,,,01 -,03,,,,,,,,,,06,,,,,,,,,,,,,,,,2,0,,,NO,05,06,,,,ALL,02,03,03,,,,,,,,,,,"02,03,05,06",,,,,,,,,03,,,,,,,,"11,01",,"05,06,",,,,,,,,,,4,7,4,7,,,,,2023-05-19,45
ст.110 ч.2,3,9980,,,1,1100002,FE1R10P1,Истязание,Ќинау,"01,02,03,04,05,06",,,,,,,,,,ALL,,,01 -,03,,,,,,,,,,06,,,,,,,,,,,,,,,,2,0,,,NO,05,06,,,,ALL,02,03,03,,,,,,,,,,,"02,03,05,06",,,,,,,,,03,,,,,,,,"11,01",,"05,06,",,,,,,,,,,4,7,4,7,,,,,2020-01-11,46
ст.111,0,390,1,,2,1110001,FE1R10P1,Причинение вреда здоровью в состоянии аффекта,Аффект жаєдайында денсаулыќќа зиян келтiру,,1,,,,,,,,,ALL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,,,NO,,,,,,ALL,,,,,,,,,,,,,,,,,,,ALL,,,,,,,,,,,,"05,06,09,12",,,,,120,,120,,120,,30,,,,,,,,,2015-01-01,47
ст.112 ч.1,1,2190,1,,1,1120001,FE1R10P1,Причинение тяжкого вреда здоровью при превышении п,Ќажеттi ќорєаныс шегiнен шыєу кезiнде денсаулыќќа,,,,,,,,,,,ALL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,,,NO,,,,,,ALL,,,,,,,,,,,,,,,,,,,ALL,,,,,,,,,,,,"05,06,09,11,01",,,,,1000,,1000,,400,,,,1,,1,,,,,2015-01-01,48
ст.112 ч.2,1,2380,1,,1,1120002,FE1R10P1,Причинение тяжкого вреда здоровью при превышении п,Ќажеттi ќорєаныс шегiнен шыєу кезiнде денсаулыќќа,,,,,,,,,,,ALL,,,,,ALL,,,,,,,,,,,,,,,,,,,,,,,,,1,0,,,NO,,,,,,ALL,,,,,,ALL,,,,,,,,,,,,,ALL,,,,,,,,,,,,"11,01",,"05,06,",,,,,,,,,,,2,,2,,,,,2015-01-01,49
